time;no calibration;calibration with FGL;calibration without FGL;simple feedback calibration;
1.2;-0.592418172897479;-0.854782557613626;-1.66582366798032;-28.527341729028;
1.25;-0.591552874256965;-0.857091348102056;-1.72498480422773;-28.6729808115192;
1.3;-0.600200778064514;-0.86757715465205;-1.79387900194148;-28.8043473421113;
1.35;-0.609049223584711;-0.879999503586369;-1.86363817720665;-28.9171910804253;
1.4;-0.601915791406598;-0.875232005021267;-1.91679558469653;-28.9909103150245;
1.45;-0.604853296160795;-0.881881880746071;-1.97971117977777;-29.0563064677782;
1.5;-0.582707279135567;-0.859181511357467;-2.01542467334801;-29.0670376717226;
1.55;-0.592866988089537;-0.864379443109214;-2.08249735887588;-29.0750734397096;
1.6;-0.606635355570616;-0.873150129085321;-2.15388482507025;-29.0557462698801;
1.65;-0.619901605818407;-0.881579739314789;-2.22564820298416;-29.0035235515846;
1.7;-0.635660422725214;-0.89377241592707;-2.30109794406667;-28.9262100118733;
1.75;-0.645611050521479;-0.899892019279671;-2.3714662826512;-28.8126249963621;
1.8;-0.663910542017661;-0.91483125388912;-2.45122422569482;-28.6782149621226;
1.85;-0.676025959990283;-0.921543405486271;-2.52535340708871;-28.4997316464429;
1.9;-0.707261269211509;-0.951746851072847;-2.62072551407303;-28.3139740982161;
1.95;-0.699127595466046;-0.942031115676686;-2.67646289797659;-28.053389945091;
2;-0.713617091240606;-0.953304440472667;-2.75460181022024;-27.7781006340941;
2.05;-0.718494477127799;-0.953469980685774;-2.82289114491457;-27.4518009701345;
2.1;-0.733958617669082;-0.964976630970229;-2.90212312350313;-27.09814818621;
2.15;-0.733126854424248;-0.958350591833716;-2.96440443777502;-26.6825988554349;
2.2;-0.748145235506281;-0.964224383624945;-3.04208109788047;-26.2288901240214;
2.25;-0.770529283569803;-1.12244118107538;-3.13278042388968;-26.2606798052357;
2.3;-0.756569863407037;-1.24821076262846;-3.16807289812731;-26.3697024563621;
2.35;-0.748746465715882;-1.32425701134355;-3.19472160494394;-26.4433094057841;
2.4;-0.724710462955704;-1.35565803499814;-3.19639225037709;-26.473669053363;
2.45;-0.729838479065643;-1.40159637857101;-3.22172152294244;-26.5187626031348;
2.5;-0.773208290684572;-1.47807703174705;-3.28213837038253;-26.5946304241844;
2.55;-0.750248596490556;-1.48040003473044;-3.27256761215264;-26.5966542673044;
2.6;-0.775349700700543;-1.52571689168301;-3.30861216786697;-26.6419306707929;
2.65;-0.797637219479388;-1.56463535296071;-3.34005795859374;-26.6810225898166;
2.7;-0.753343905125118;-1.53291406163693;-3.30278176593621;-26.649631040647;
2.75;-0.655473898748315;-1.44360098367652;-3.20974314552355;-26.5607119710454;
2.8;-0.639376710178497;-1.43395969250202;-3.1973193846716;-26.5515215537432;
2.85;-0.654058222437677;-1.45403746345564;-3.21508835096227;-26.5721357189982;
2.9;-0.695914698035657;-1.50064864520679;-3.25968169389086;-26.6193962730424;
2.95;-0.731262668952169;-1.54016165624843;-3.29744026472454;-26.6596691477558;
3;-0.612220179114705;-1.4239903823254;-3.18006715128637;-26.5441979556051;
3.05;-0.499447267153345;-1.31299295735927;-3.06832914286486;-26.4337532690506;
3.1;-0.588287908690792;-1.40350428878419;-3.15814390043212;-26.5249101466336;
3.15;-0.643357090992771;-1.46019820151634;-3.21416325604837;-26.5823993712175;
3.2;-0.53969173625975;-1.35767323547877;-3.11116684960269;-26.4805864207238;
3.25;-0.655288624654697;-1.47436671584926;-3.22740941751978;-26.5981234653578;
3.3;-0.639060069577251;-1.45908432678364;-3.21173917038165;-26.5837376237339;
3.35;-0.649453376040667;-1.47026033753083;-3.22259454584597;-26.5958326721588;
3.4;-0.742921404490517;-1.56448514164498;-3.31651512126488;-26.6911397961165;
3.45;-0.728014767848916;-1.55021630618418;-3.30198941077889;-26.6779872344198;
3.5;-0.702599794284352;-1.525298276805;-3.27686887365826;-26.6541443279905;
3.55;-0.686911486991782;-1.51000952064702;-3.26141678544839;-26.6398960668112;
3.6;-0.693110896660413;-1.51633498283309;-3.26760239447975;-26.6472728483336;
3.65;-0.697496853624037;-1.52118003268729;-3.27233544564339;-26.6531912137621;
3.7;-0.538595490847532;-1.36246720773844;-3.11355128021977;-26.4953031930567;
3.75;-0.67965479247567;-1.50369548530106;-3.2547083134106;-26.6375073914381;
3.8;-0.698145235780066;-1.52234739268904;-3.27329555767976;-26.6572514591926;
3.85;-0.675847370802092;-1.50017318187135;-3.25107353646186;-26.6361388998003;
3.9;-0.695010550882983;-1.51943683172588;-3.27029398342663;-26.6564824247849;
3.95;-0.690084702997527;-1.51460459133009;-3.26542349528671;-26.6527314509358;
4;-0.680678373541433;-1.5052636916546;-3.25605827402955;-26.6444610421546;
4.05;-0.678768013904568;-1.50341729181682;-3.25418958044757;-26.6436743035751;
4.1;-0.677355775765614;-1.50205141016688;-3.25280280038199;-26.6433660585952;
4.15;-0.676226687584038;-1.50096272687093;-3.25169821234668;-26.6433294421718;
4.2;-0.682578161994783;-1.50734560967248;-3.25806983044776;-26.6507795836857;
4.25;-0.698100921015051;-1.52289589304376;-3.27360793831224;-26.6674281380982;
4.3;-0.712446878061185;-1.53726829231923;-3.28797379386319;-26.6829259855375;
4.35;-0.724129569673319;-1.54897247105845;-3.29966954734643;-26.6957731091725;
4.4;-0.721372132933177;-1.54623323146166;-3.29692881294534;-26.6941750557767;
4.45;-0.745575690039443;-1.57045589775148;-3.32114723649111;-26.7195768310744;
4.5;-0.744438378489082;-1.56933019063904;-3.32001351721951;-26.7196355225482;
4.55;-0.763452319436734;-1.58835166230102;-3.3390297150594;-26.7398670637257;
4.6;-0.779931811675172;-1.60484373689176;-3.35551782420902;-26.7575975224234;
4.65;-0.793167163923656;-1.61808649296905;-3.36875775746242;-26.7721007498517;
4.7;-0.810694852200362;-1.63561645848499;-3.38628545417597;-26.7909202571166;
4.75;-0.812986412515221;-1.63792654494453;-3.3885912240944;-26.7945248586113;
4.8;-0.829700996711065;-1.65465310216985;-3.40531397854381;-26.8125614015466;
4.85;-0.823058315845929;-1.6480135408329;-3.39866995250025;-26.8072172356349;
4.9;-0.813768614089884;-1.63872422053538;-3.3893826958893;-26.7991973469614;
4.95;-0.800985635317607;-1.62594225865722;-3.37660435870878;-26.7876474824853;
5;-0.823432169699292;-1.64838914088564;-3.39905035625948;-26.811348259189;
5.05;-0.800258613999342;-1.62522054210932;-3.37587986366877;-26.7893959379043;
5.1;-0.823881376575794;-1.64884944514993;-3.39950751309199;-26.8142592499075;
5.15;-0.814718503411991;-1.63968602724871;-3.39034599737117;-26.8063273928168;
5.2;-0.822595205820494;-1.64757005627229;-3.39822900081953;-26.8154361021833;
5.25;-0.851182624402668;-1.67614824015611;-3.42680741709958;-26.8452837641766;
5.3;-0.812971753358591;-1.63795213216352;-3.3886109148063;-26.8083041192255;
5.35;-0.710070229403489;-1.53505367567186;-3.28571183073441;-26.706423021602;
5.4;-0.706284925046539;-1.53126077900372;-3.2819217982157;-26.7035926040762;
5.45;-0.787514654473773;-1.61244955989585;-3.36310499042623;-26.78587303034;
5.5;-0.716776001905209;-1.54165081095396;-3.29230340015522;-26.7161006572805;
5.55;-0.746596490912437;-1.57151728253063;-3.32217136976338;-26.7469989568404;
5.6;-0.818204034186609;-1.64311727231768;-3.39377043909294;-26.8197669185361;
5.65;-0.759940843359437;-1.58486848663623;-3.33552072535958;-26.7626224711417;
5.7;-0.698212670840442;-1.52317311701374;-3.27382753094904;-26.7018889492005;
5.75;-0.72068980907508;-1.54564263677353;-3.29629954101509;-26.7253361631731;
5.8;-0.714891321558335;-1.53983850537564;-3.29049738502839;-26.7205144205427;
5.85;-0.675814224249787;-1.50076178207358;-3.2514165221424;-26.6823527082533;
5.9;-0.709110463626605;-1.53406256477032;-3.28471870363676;-26.716611889402;
5.95;-0.722932959656191;-1.54788308336204;-3.29853902455172;-26.7314341695156;
6;-0.816872711429446;-1.64182189979505;-3.39247790292361;-26.8265391693209;
6.05;-0.803060165930468;-1.62800801132719;-3.37865912130059;-26.8139124162594;
6.1;-0.779379002686083;-1.60432339353682;-3.354972395202;-26.7913568088532;
6.15;-0.760470989074243;-1.58542361549079;-3.33607599013545;-26.7735397307346;
6.2;-0.769664621224437;-1.59462019115923;-3.34527348582956;-26.7838228458763;
6.25;-0.766667265343987;-1.59162851863448;-3.34228252048539;-26.7819159617428;
6.3;-0.761918805389221;-1.58687615219098;-3.33753106594682;-26.778238872865;
6.35;-0.776453662045762;-1.60141213982969;-3.35206820156537;-26.7938701977843;
6.4;-0.770351481619555;-1.59531171654519;-3.34596731223376;-26.7888596508394;
6.45;-0.779616629118866;-1.60458070133322;-3.35523560637833;-26.7992347584482;
6.5;-0.774880034346109;-1.59984829043559;-3.350505512787;-26.7955964530524;
6.55;-0.777987507835636;-1.60296350524944;-3.35361855033949;-26.7998039388707;
6.6;-0.780865692805176;-1.60584949851564;-3.3565046683974;-26.8037879481947;
6.65;-0.760745318168795;-1.5857289730657;-3.33638748478211;-26.7847341226948;
6.7;-0.764176978213486;-1.58916509704891;-3.33982665805793;-26.7892289777695;
6.75;-0.764743355575001;-1.58972183711756;-3.34038525558657;-26.7908453521986;
6.8;-0.782040435359849;-1.60702084784804;-3.35768512075734;-26.8092336711604;
6.85;-0.796562514662519;-1.62154335838263;-3.37220650290879;-26.8248766558162;
6.9;-0.812158439800851;-1.63714384969424;-3.38780537514463;-26.8416262224182;
6.95;-0.82851588270413;-1.65350041690509;-3.40415909634025;-26.8591583385058;
7;-0.840143087507012;-1.66512300395709;-3.41578157519985;-26.871980245771;
7.05;-0.856486336583696;-1.68146125393111;-3.43212053711495;-26.8895463527054;
7.1;-0.864170526191473;-1.68914677612636;-3.43980541845332;-26.898475494288;
7.15;-0.880027415723917;-1.70500566107398;-3.45566004127788;-26.9156029378545;
7.2;-0.883683447621729;-1.70866512028118;-3.459312646665;-26.9205300217659;
7.25;-0.898753227291878;-1.7237362089626;-3.47437875809101;-26.9368875225814;
7.3;-0.897385793825138;-1.72236966774476;-3.47301173807531;-26.9368021368151;
7.35;-0.894438133322631;-1.71942273461628;-3.47006101440969;-26.9351193481329;
7.4;-0.903534389792268;-1.72852089160336;-3.47916066533089;-26.945486710694;
7.45;-0.917779114943659;-1.74276557583796;-3.4934062965012;-26.9610230380496;
7.5;-0.937729916349451;-1.76271988747005;-3.51335989866884;-26.9822976440668;
7.55;-0.865654278686575;-1.69064750871729;-3.44128653651885;-26.9114228915469;
7.6;-0.911742745637903;-1.73674408379102;-3.48738193111032;-26.9587463259834;
7.65;-0.935654025155957;-1.76065746318115;-3.51129371319103;-26.9839489351799;
7.7;-0.910725013119443;-1.73572935243892;-3.48636801870423;-26.9602681783634;
7.75;-0.915798310864839;-1.74080234765377;-3.49144591311646;-26.9665724212259;
7.8;-0.868967552008632;-1.69397364445667;-3.44462009366722;-26.9209013268807;
7.85;-0.857566091701744;-1.68256811539096;-3.43321905734283;-26.9106000831936;
7.9;-0.821177422320562;-1.6461777114242;-3.3968312101218;-26.8752499090074;
7.95;-0.852374526153228;-1.67737768960001;-3.42803119741918;-26.9075204125463;
8;-0.930483609466381;-1.7554814948988;-3.5061347237965;-26.9868393278631;
8.05;-0.824137199896688;-1.64913958660703;-3.39979132654216;-26.8815767914103;
8.1;-0.805520673573185;-1.63052306668102;-3.38117417558158;-26.8639436516578;
8.15;-0.830160338078633;-1.65514766240738;-3.40579946181369;-26.8895937319643;
8.2;-0.856240792389236;-1.68122606207197;-3.431880172915;-26.9167511385411;
8.25;-0.903380336241805;-1.72837704623815;-3.47903235488092;-26.965073762951;
8.3;-0.841826367636339;-1.66682382963037;-3.41747889358721;-26.9046101560449;
8.35;-0.811159219798545;-1.63615720793224;-3.38681350506571;-26.8749408081008;
