time;no calibration;calibration with FGL;calibration without FGL;simple feedback calibration
1.65;-0.619901605818407;-0.983580469621199;-2.16542527560881;-0.885157939393917
1.7;-0.635660422725214;-1.12214696788711;-2.22445014173558;-1.0279535332097
1.75;-0.645611050521479;-1.20889148529522;-2.26604902734928;-1.11525084411256
1.8;-0.663910542017661;-1.28159530161586;-2.30967800222273;-1.18731074600691
1.85;-0.676025959990283;-1.33491568430886;-2.34227967451036;-1.23981768363942
1.9;-0.707261269211509;-1.39906257753604;-2.39054922862363;-1.30336271659499
1.95;-0.699127595466046;-1.41645970696636;-2.39601288806875;-1.3204516732183
2;-0.713617091240606;-1.45126130040335;-2.42155809002957;-1.35520375238065
2.05;-0.718494477127799;-1.47242678318782;-2.43545317472993;-1.37652805520444
2.1;-0.733958617669082;-1.50114796491177;-2.45836197621843;-1.40558675840688
2.15;-0.733126854424248;-1.51099472984739;-2.46359210860179;-1.41591185496235
2.2;-0.748145235506281;-1.53476688645494;-2.48362183508834;-1.44027954551876
2.25;-0.770529283569803;-1.56447099103792;-2.51022613751903;-1.47069686569185
2.3;-0.756569863407037;-1.55637471972272;-2.49967127241188;-1.46338946587083
2.35;-0.748746465715882;-1.55322758223663;-2.49457574724949;-1.46108352406691
2.4;-0.724710462955704;-1.53286634083165;-2.4726919289735;-1.44159088877115
2.45;-0.729838479065643;-1.54098549481772;-2.47957890639422;-1.45062003167268
2.5;-0.773208290684572;-1.58695909117087;-2.52447933273843;-1.49760027924645
2.55;-0.750248596490556;-1.56609780723217;-2.502758422597;-1.47776599683719
2.6;-0.775349700700543;-1.59295600807759;-2.52889918469237;-1.5056987663912
2.65;-0.797637219479388;-1.61674022933609;-2.55207145921669;-1.53062428393176
2.7;-0.753343905125118;-1.57361229009843;-2.50846396914427;-1.48859478009067
2.75;-0.655473898748315;-1.4765550162303;-2.41107274086067;-1.39248604931938
2.8;-0.639376710178497;-1.46108300645751;-2.39534617067752;-1.37791283292114
2.85;-0.654058222437677;-1.47628586859067;-2.41033461600236;-1.3940525010069
2.9;-0.695914698035657;-1.51860942048328;-2.4524683439995;-1.43739966394487
2.95;-0.731262668952169;-1.55437052623964;-2.4880614636588;-1.47426568435679
3;-0.612220179114705;-1.43561762733409;-2.36919200419173;-1.35645480667919
3.05;-0.499447267153345;-1.32302224170631;-2.256528577175;-1.24457950759038
3.1;-0.588287908690792;-1.41203337651105;-2.34546772675977;-1.3344040210466
3.15;-0.643357090992771;-1.46726801384629;-2.40063077416893;-1.39060357953225
3.2;-0.53969173625975;-1.36371943910276;-2.29703294835663;-1.28788671905515
3.25;-0.655288624654697;-1.47943362104612;-2.41269529036254;-1.40455834209172
3.3;-0.639060069577251;-1.46330522991269;-2.3965298885463;-1.38943164417587
3.35;-0.649453376040667;-1.47377925220948;-2.40697056348076;-1.40091788557281
3.4;-0.742921404490517;-1.56733275628161;-2.50049321788672;-1.49564672579353
3.45;-0.728014767848916;-1.55249868001446;-2.48562800537993;-1.48200793410996
3.5;-0.702599794284352;-1.52713710871102;-2.46024465719706;-1.45778029066433
3.55;-0.686911486991782;-1.51148723083644;-2.44458009102657;-1.44323232620184
3.6;-0.693110896660413;-1.51751577416223;-2.45059404597971;-1.45036143082324
3.65;-0.697496853624037;-1.52211646856115;-2.45517851851442;-1.45607132164476
3.7;-0.538595490847532;-1.36324338551742;-2.29630037518865;-1.29805516119941
3.75;-0.67965479247567;-1.50431815419676;-2.43736201461949;-1.44013578582615
3.8;-0.698145235780066;-1.52282503101097;-2.45586355143485;-1.45976447776862
3.85;-0.675847370802092;-1.50053435068171;-2.4335700457637;-1.4385591957143
3.9;-0.695010550882983;-1.51970274556644;-2.4527343236953;-1.45882270397017
3.95;-0.690084702997527;-1.51479006483089;-2.44781760841682;-1.45500528510503
4;-0.680678373541433;-1.50538584420446;-2.43841082760279;-1.44668206707344
4.05;-0.678768013904568;-1.50348258212818;-2.43651020660809;-1.44585666642492
4.1;-0.677355775765614;-1.50207306148446;-2.43510278280076;-1.44551066013918
4.15;-0.676226687584038;-1.50094722171821;-2.43397547114228;-1.44544520064508
4.2;-0.682578161994783;-1.50730077208028;-2.4403293819663;-1.45286590925149
4.25;-0.698100921015051;-1.52282509612731;-2.45585388798607;-1.46948946841891
