time;no calibration;calibration with FGL;calibration without FGL;simple feedback calibration
0;-4.96820706795192e-07;4.38734409669798e-06;4.38734409669798e-06;
0.05;-2.30806303835607e-06;2.95413969568774e-06;2.95413969568774e-06;
0.1;-6.61413877227743e-06;-5.53550403204523e-07;-5.53550403204523e-07;
0.15;-1.08310609631447e-05;-5.37531608251313e-06;-5.37531608251313e-06;
0.2;-1.56396692729582e-05;-1.01708051894876e-05;-1.01708051894876e-05;
0.25;-1.87532866112621e-05;-1.31471514161836e-05;-1.31471514161836e-05;
0.3;-2.32971096727337e-05;-1.74875735784435e-05;-1.74875735784435e-05;
0.35;-2.52308632048479e-05;-2.00570452865138e-05;-2.00570452865138e-05;
0.4;-2.8436975449732e-05;-2.35917130028809e-05;-2.35917130028809e-05;
0.45;-3.14822859743638e-05;-2.66232956937299e-05;-2.66232956937299e-05;
0.5;-3.06015492139668e-05;-2.60411336312774e-05;-2.60411336312774e-05;
0.55;-3.61896649637753e-05;-3.1990953407681e-05;-3.1990953407681e-05;
0.6;-3.78180361387046e-05;-3.35642922337346e-05;-3.35642922337346e-05;
0.65;-3.68698919237216e-05;-3.23934431372895e-05;-3.23934431372895e-05;
0.7;-3.96376349324134e-05;-3.5100476735999e-05;-3.5100476735999e-05;
0.75;-4.02402617014639e-05;-3.6961658203391e-05;-3.6961658203391e-05;
0.8;-3.12898048608178e-05;-2.83442641127668e-05;-2.83442641127668e-05;
0.85;-1.71642312141945e-05;-1.25615873815549e-05;-1.25615873815549e-05;
0.9;-1.71642312141945e-05;-1.25615873815549e-05;-1.25615873815549e-05;
0.95;-1.71642312141945e-05;-1.25615873815549e-05;-1.25615873815549e-05;
1;-1.71642312141945e-05;-1.25615873815549e-05;-1.25615873815549e-05;
1.05;-1.71642312141945e-05;-1.25615873815549e-05;-1.25615873815549e-05;
1.1;-1.71642312141945e-05;-1.25615873815549e-05;-1.25615873815549e-05;
1.15;-1.71642312141945e-05;-1.25615873815549e-05;-1.25615873815549e-05;
1.2;-1.71642312141945e-05;-1.25615873815549e-05;-1.25615873815549e-05;
1.25;-1.71642312141945e-05;-1.25615873815549e-05;-1.25615873815549e-05;
1.3;-1.71642312141945e-05;-1.25615873815549e-05;-1.25615873815549e-05;
1.35;-1.71642312141945e-05;-1.25615873815549e-05;-1.25615873815549e-05;
1.4;-1.71642312141945e-05;-1.25615873815549e-05;-1.25615873815549e-05;
1.45;-1.71642312141945e-05;-1.25615873815549e-05;-1.25615873815549e-05;
1.5;-1.71642312141945e-05;-1.25615873815549e-05;-1.25615873815549e-05;
1.55;-1.71642312141945e-05;-1.25615873815549e-05;-1.25615873815549e-05;
1.6;-0.00622280642416597;-0.00621749445099271;-0.00621749445099271;
1.65;-0.0108557804613988;-0.0108503206861702;-0.0108503206861702;
1.7;0.00983316032344178;0.00983865881909932;0.00983865881909932;
1.75;0.0026538912260076;0.00265993550535738;0.00265993550535738;
1.8;0.00247998493626674;0.00248626873189225;0.00248626873189225;
1.85;-0.00222700875021661;-0.00221842103421249;-0.00221842103421249;
1.9;-6.95550014415209e-05;-6.03192341899516e-05;-6.03192341899516e-05;
1.95;4.37411906026587e-05;5.41809204942394e-05;5.41809204942394e-05;
2;0.000142850788455652;0.000155684155456071;0.000155684155456071;
2.05;0.000229913010347106;0.000242829224028756;0.000242829224028756;
2.1;0.00251776676110339;0.00253089660908078;0.00253089660908078;
2.15;0.0246349258290378;0.024646680825106;0.024646680825106;
2.2;0.0220192792741939;0.0220309103079143;0.0220309103079143;
2.25;0.0297275603163464;0.0297413095737349;0.0297413095737349;
2.3;0.0350144024478249;0.0350304996996832;0.0350304996996832;
2.35;0.104055308824961;0.104071377162779;0.104071377162779;
2.4;0.0855620331301365;0.0855756104976278;0.0855756104976278;
2.45;0.0820237087904064;0.0820384153241711;0.0820384153241711;
2.5;0.0648662845650929;0.0648817662414571;0.0648817662414571;
2.55;0.0985895599645767;0.0986037167010945;0.0986037167010945;
2.6;0.068892605270946;0.0689065795165489;0.0689065795165489;
2.65;0.106725384234359;0.106741263702544;0.106741263702544;
2.7;0.0991245341812228;0.0991409752691586;0.0991409752691586;
2.75;0.116619353773894;0.116636284057449;0.116636284057449;
2.8;0.0971615436703684;0.0971811754092876;0.0971811754092876;
2.85;0.0676816417838872;0.0677019651467369;0.0677019651467369;
2.9;0.0123753175864265;0.0123960052865986;0.0123960052865986;
2.95;0.0457791836341576;0.0457987016342531;0.0457987016342531;
3;0.19492597005859;0.194946059583701;0.194946059583701;
3.05;0.104644738269727;0.104665814963085;0.104665814963085;
3.1;0.0657343109992397;0.0657540579044155;0.0657540579044155;
3.15;0.0845189444345659;0.0845380298703701;0.0845380298703701;
3.2;0.333583875146032;0.333808447414707;0.333808447414707;
3.25;0.821032304789002;0.826541431618711;0.826541431618711;
3.3;0.682428684961397;0.694048520939829;0.694048520939829;
3.35;0.416350395390828;0.444667279391505;0.444667279391505;
3.4;0.081987919644297;0.223104061022626;0.146542142851796;
3.45;-0.203046443871821;0.240162991383591;-0.1090102550042;
