time;no calibration;calibration with FGL;calibration without FGL;simple feedback calibration
15.15;0.0261054593486495;-0.221083791826155;-0.366530797873969;-66.3607750288916
15.2;0.026614597312094;-0.220575288208362;-0.366020089475469;-66.3602310276785
15.25;0.0271434902357107;-0.220048421974136;-0.365480414392452;-66.3596629917994
15.3;0.0271639096206767;-0.220030854530062;-0.365457930919861;-66.359596971849
15.35;0.0278433859373911;-0.219358276899706;-0.364775312033957;-66.3588858278753
15.4;0.0278265207266614;-0.219379746375639;-0.364810904982741;-66.3588840414911
15.45;0.0281415582550426;-0.219071587316586;-0.364514819539786;-66.3585460464641
15.5;0.0284480926174661;-0.218770692247633;-0.364227806879522;-66.3582118882396
15.55;0.0282663992835897;-0.218951745938427;-0.364421551059218;-66.3583659711424
15.6;0.0284323262489527;-0.218775997261333;-0.36426013521028;-66.3581613967274
15.65;0.0286236452172319;-0.218585201237768;-0.364067172274709;-66.3579309383133
15.7;0.0283085942751285;-0.218900352038601;-0.364384006842362;-66.3581861912631
15.75;0.0286444214797073;-0.218572890159995;-0.364050240443025;-66.3578054030912
15.8;0.0282828420168774;-0.21893409170774;-0.364418222631784;-66.3581251757164
15.85;0.0293414541356025;-0.217863989590198;-0.363348525558033;-66.3570192641869
15.9;0.0293387532680306;-0.217863712048712;-0.363346375106619;-66.3569710370011
15.95;0.0288036561705144;-0.218397497100045;-0.363888999490996;-66.357465752733
16;0.0286122591601635;-0.218612543206101;-0.364100566550265;-66.3576264272244
16.05;0.028439637095276;-0.21878764743128;-0.364276914764423;-66.3577600798594
16.1;0.027771937976708;-0.219448452011645;-0.364938743437239;-66.358383974046
16.15;0.02773669748609;-0.219486573566806;-0.364974905865065;-66.3583681339819
16.2;0.0270281242366918;-0.220180046767472;-0.365678909746459;-66.3590244471335
16.25;0.0266427561292334;-0.220552715739042;-0.36607275376518;-66.3593546699895
16.3;0.0262773493659777;-0.220906501743754;-0.366430469794295;-66.3596805597647
16.35;0.0254562244327827;-0.221726231530913;-0.367253268316586;-66.3604713221932
16.4;0.0249788696569043;-0.222189190020004;-0.367717517974139;-66.3608986554869
16.45;0.0245264202347892;-0.222608927602914;-0.368152993914914;-66.3612967152853
16.5;0.0235715462141199;-0.223537829205607;-0.369090489459407;-66.3621975494991
16.55;0.0233071279040308;-0.223788550216205;-0.369346599954873;-66.3624318160275
16.6;0.0224232200296146;-0.224680021025241;-0.370234391908367;-66.3632844322705
16.65;0.0219164144953234;-0.22518309313015;-0.370746284705928;-66.3637527270839
16.7;0.0214535574185491;-0.225652160384362;-0.371206752257974;-66.3641856105252
16.75;0.0207395540279391;-0.226390177795817;-0.371923832328182;-66.364869652113
16.8;0.0204343864768681;-0.226703977586688;-0.372236532576008;-66.3651338351021
16.85;0.0201624842182964;-0.226967813154035;-0.37250129597558;-66.3653636254381
16.9;0.0194959650685692;-0.227640512809017;-0.373168084964992;-66.3659989063049
16.95;0.0195021665492513;-0.227648645832567;-0.373154098098795;-66.3659664146867
17;0.0188722157391655;-0.228267878918339;-0.37377693905135;-66.3665677383873
17.05;0.0186406399220833;-0.228495772536276;-0.374028864053467;-66.3667842135829
17.1;0.0184032428819586;-0.228736023372141;-0.37427065943737;-66.3669850886416
17.15;0.0177646687468364;-0.229372463052741;-0.374912885629393;-66.3675794701925
17.2;0.0174939090718098;-0.229650113662021;-0.375175651136049;-66.3678190456987
17.25;0.0171529096787871;-0.22998645267651;-0.375500675889428;-66.3680957987621
